ID;Category;Name;Method;MethodArgument;RegistryPath;RegistryItem;ClassName;Namespace;Property;DefaultValue;RecommendedValue;Operator;Severity
9.3.7;Windows Firewall;Log size limit (Public Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging;LogFileSize;;;;4096;16384;>=;Medium
9.3.8;Windows Firewall;Log dropped packets (Public Profile  Policy);Registry;;HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging;LogDroppedPackets;;;;0;1;=;Medium
18.1.2.2;Administrative Templates: Control Panel;Regional and Language Options: Allow users to enable online speech recognition services;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\InputPersonalization;AllowInputPersonalization;;;;1;0;=;Medium
18.4.2;MS Security Guide;Configure RPC packet level privacy setting for incoming connections;Registry;;HKLM:\System\CurrentControlSet\Control\Print;RpcAuthnLevelPrivacyEnabled;;;;;1;=;Medium
18.4.3;MS Security Guide;Configure SMB v1 client driver;Registry;;HKLM:\SYSTEM\CurrentControlSet\Services\MrxSmb10;Start;;;;1;4;=;Medium
18.4.4;MS Security Guide;Configure SMB v1 server;Registry;;HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters;SMB1;;;;1;0;=;Medium
18.4.5;MS Security Guide;Enable Certificate Padding;Registry;;HKLM:\SOFTWARE\Microsoft\Cryptography\Wintrust\Config;EnableCertPaddingCheck;;;;;1;=;Medium
18.4.6;MS Security Guide;Enable Structured Exception Handling Overwrite Protection (SEHOP);Registry;;HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\kernel;DisableExceptionChainValidation;;;;0;0;=;Medium
18.4.7;MS Security Guide;NetBT NodeType configuration;Registry;;HKLM:\SYSTEM\CurrentControlSet\Services\NetBT\Parameters;NodeType;;;;0;2;=;Medium
18.5.2;MSS (Legacy);MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing);Registry;;HKLM:\System\CurrentControlSet\Services\Tcpip6\Parameters;DisableIPSourceRouting;;;;0;2;=;Medium
18.5.3;MSS (Legacy);MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing);Registry;;HKLM:\System\CurrentControlSet\Services\Tcpip\Parameters;DisableIPSourceRouting;;;;1;2;=;Medium
18.5.4;MSS (Legacy);MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes;Registry;;HKLM:\System\CurrentControlSet\Services\Tcpip\Parameters;EnableICMPRedirect;;;;1;0;=;Medium
18.5.6;MSS (Legacy);MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers;Registry;;HKLM:\System\CurrentControlSet\Services\Netbt\Parameters;NoNameReleaseOnDemand;;;;0;1;=;Medium
18.5.8;MSS (Legacy);MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended);Registry;;HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager;SafeDLLSearchMode;;;;0;1;=;Medium
18.5.9;MSS (Legacy);MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires (0 recommended);Registry;;HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon;ScreenSaverGracePeriod;;;;5;5;<=;Medium
18.5.12;MSS (Legacy);MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning;Registry;;HKLM:\SYSTEM\CurrentControlSet\Services\Eventlog\Security;WarningLevel;;;;0;90;<=;Medium
18.6.4.1;Administrative Templates: Network;DNS Client: Configure DNS over HTTPS (DoH) name resolution;Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient;DoHPolicy;;;;;2;>=;Medium
18.6.4.2;Administrative Templates: Network;DNS Client: Configure NetBIOS settings;Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient;EnableNetbios;;;;;2;=;Medium
18.6.4.3;Administrative Templates: Network;DNS Client: Turn off multicast name resolution (LLMNR);Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient;EnableMulticast;;;;1;0;=;Medium
18.6.8.1;Administrative Templates: Network;Lanman Workstation: Enable insecure guest logons;Registry;;HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation;AllowInsecureGuestAuth;;;;1;0;=;Medium
18.6.11.2;Administrative Templates: Network;Network Connections: Prohibit installation and configuration of Network Bridge on your DNS domain network;Registry;;HKLM:\Software\Policies\Microsoft\Windows\Network Connections;NC_AllowNetBridge_NLA;;;;0;0;=;Medium
18.6.11.3;Administrative Templates: Network;Network Connections: Prohibit use of Internet Connection Sharing on your DNS domain network;Registry;;HKLM:\Software\Policies\Microsoft\Windows\Network Connections;NC_ShowSharedAccessUI;;;;1;0;=;Medium
18.6.11.4;Administrative Templates: Network;Network Connections: Require domain users to elevate when setting a network's location;Registry;;HKLM:\Software\Policies\Microsoft\Windows\Network Connections;NC_StdDomainUserSetLocation;;;;0;1;=;Medium
18.6.21.1;Administrative Templates: Network;Windows Connection Manager: Minimize the number of simultaneous connections to the Internet or a Windows Domain;Registry;;HKLM:\SOFTWARE\Policies\Microsoft\Windows\WcmSvc\GroupPolicy;fMinimizeConnections;;;;1;3;=;Medium
18.7.1;Administrative Templates: Printers;Allow Print Spooler to accept client connections;Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers;RegisterSpoolerRemoteRpcEndPoint;;;;1;2;=;Medium
18.7.2;Administrative Templates: Printers;Configure Redirection Guard;Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers;RedirectionGuardPolicy;;;;;1;=;Medium
18.7.3;Administrative Templates: Printers;Configure RPC connection settings (RpcUseNamedPipeProtocol);Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC;RpcUseNamedPipeProtocol;;;;;0;=;Medium
18.7.4;Administrative Templates: Printers;Configure RPC connection settings (RpcAuthentication);Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC;RpcAuthentication;;;;;0;=;Medium
18.7.5;Administrative Templates: Printers;Configure RPC listener settings (RpcProtocols);Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC;RpcProtocols;;;;;5;=;Medium
18.7.6;Administrative Templates: Printers;Configure RPC listener settings (ForceKerberosForRpc);Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC;ForceKerberosForRpc;;;;;0;>=;Medium
18.7.7;Administrative Templates: Printers;Configure RPC over TCP port;Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC;RpcTcpPort;;;;;0;=;Medium
18.7.8;Administrative Templates: Printers;Limits print driver installation to Administrators;Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint;RestrictDriverInstallationToAdministrators;;;;;1;=;Medium
18.7.9;Administrative Templates: Printers;Manage processing of Queue-specific files;Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers;CopyFilesPolicy;;;;;1;=;Medium
18.7.10;Administrative Templates: Printers;Point and Print Restrictions: When installing drivers for a new connection;Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint;NoWarningNoElevationOnInstall;;;;0;0;=;Medium
18.7.11;Administrative Templates: Printers;Point and Print Restrictions: When updating drivers for an existing connection;Registry;;HKLM:\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint;UpdatePromptSettings;;;;0;0;=;Medium
18.9.3.1;Administrative Templates: System;Audit Process Creation: Include command line in process creation events;Registry;;HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit;ProcessCreationIncludeCmdLine_Enabled;;;;0;1;=;Medium
